S 1508a0,4 miss eviction s = 5, b= 0
L 112310,4 miss eviction s = 24, b= 16
L 112314,4 hit s = 24, b= 20
L 112318,4 hit s = 24, b= 24
L 11231c,4 hit s = 24, b= 28
L 112320,4 miss eviction s = 25, b= 0
L 112324,4 hit s = 25, b= 4
L 112328,4 hit s = 25, b= 8
L 11232c,4 hit s = 25, b= 12
S 150150,4 hit s = 10, b= 16
S 15025c,4 hit s = 18, b= 28
S 150368,4 hit s = 27, b= 8
S 150474,4 hit s = 3, b= 20
S 150580,4 miss eviction s = 12, b= 0
S 15068c,4 hit s = 20, b= 12
S 150798,4 hit s = 28, b= 24
S 1508a4,4 hit s = 5, b= 4
L 112404,4 miss eviction s = 0, b= 4
L 112408,4 hit s = 0, b= 8
L 11240c,4 hit s = 0, b= 12
L 112410,4 hit s = 0, b= 16
L 112414,4 hit s = 0, b= 20
L 112418,4 hit s = 0, b= 24
L 11241c,4 hit s = 0, b= 28
L 112420,4 miss eviction s = 1, b= 0
S 150154,4 hit s = 10, b= 20
S 150260,4 miss eviction s = 19, b= 0
S 15036c,4 hit s = 27, b= 12
S 150478,4 hit s = 3, b= 24
S 150584,4 hit s = 12, b= 4
S 150690,4 hit s = 20, b= 16
S 15079c,4 hit s = 28, b= 28
S 1508a8,4 hit s = 5, b= 8
L 1124f8,4 miss eviction s = 7, b= 24
L 1124fc,4 hit s = 7, b= 28
L 112500,4 miss eviction s = 8, b= 0
L 112504,4 hit s = 8, b= 4
L 112508,4 hit s = 8, b= 8
L 11250c,4 hit s = 8, b= 12
L 112510,4 hit s = 8, b= 16
L 112514,4 hit s = 8, b= 20
S 150158,4 hit s = 10, b= 24
S 150264,4 hit s = 19, b= 4
S 150370,4 hit s = 27, b= 16
S 15047c,4 hit s = 3, b= 28
S 150588,4 hit s = 12, b= 8
S 150694,4 hit s = 20, b= 20
S 1507a0,4 miss eviction s = 29, b= 0
S 1508ac,4 hit s = 5, b= 12
L 1125ec,4 miss eviction s = 15, b= 12
L 1125f0,4 hit s = 15, b= 16
L 1125f4,4 hit s = 15, b= 20
L 1125f8,4 hit s = 15, b= 24
L 1125fc,4 hit s = 15, b= 28
L 112600,4 miss eviction s = 16, b= 0
L 112604,4 hit s = 16, b= 4
L 112608,4 hit s = 16, b= 8
S 15015c,4 hit s = 10, b= 28
S 150268,4 hit s = 19, b= 8
S 150374,4 hit s = 27, b= 20
S 150480,4 miss eviction s = 4, b= 0
S 15058c,4 hit s = 12, b= 12
S 150698,4 hit s = 20, b= 24
S 1507a4,4 hit s = 29, b= 4
S 1508b0,4 hit s = 5, b= 16
L 1126e0,4 miss eviction s = 23, b= 0
L 1126e4,4 hit s = 23, b= 4
L 1126e8,4 hit s = 23, b= 8
L 1126ec,4 hit s = 23, b= 12
L 1126f0,4 hit s = 23, b= 16
L 1126f4,4 hit s = 23, b= 20
L 1126f8,4 hit s = 23, b= 24
L 1126fc,4 hit s = 23, b= 28
S 150160,4 miss eviction s = 11, b= 0
S 15026c,4 hit s = 19, b= 12
S 150378,4 hit s = 27, b= 24
S 150484,4 hit s = 4, b= 4
S 150590,4 hit s = 12, b= 16
S 15069c,4 hit s = 20, b= 28
S 1507a8,4 hit s = 29, b= 8
S 1508b4,4 hit s = 5, b= 20
L 1127d4,4 miss eviction s = 30, b= 20
L 1127d8,4 hit s = 30, b= 24
L 1127dc,4 hit s = 30, b= 28
L 1127e0,4 miss eviction s = 31, b= 0
L 1127e4,4 hit s = 31, b= 4
L 1127e8,4 hit s = 31, b= 8
L 1127ec,4 hit s = 31, b= 12
L 1127f0,4 hit s = 31, b= 16
S 150164,4 hit s = 11, b= 4
