L 10f268,4 hit s = 19, b= 8
L 10f26c,4 hit s = 19, b= 12
L 10f270,4 hit s = 19, b= 16
L 10f274,4 hit s = 19, b= 20
L 10f278,4 hit s = 19, b= 24
L 10f27c,4 hit s = 19, b= 28
S 14f4cc,4 hit s = 6, b= 12
S 14f54c,4 hit s = 10, b= 12
S 14f5cc,4 hit s = 14, b= 12
S 14f64c,4 hit s = 18, b= 12
S 14f6cc,4 hit s = 22, b= 12
S 14f74c,4 hit s = 26, b= 12
S 14f7cc,4 hit s = 30, b= 12
S 14f84c,4 hit s = 2, b= 12
L 10f2e0,4 miss eviction s = 23, b= 0
L 10f2e4,4 hit s = 23, b= 4
L 10f2e8,4 hit s = 23, b= 8
L 10f2ec,4 hit s = 23, b= 12
L 10f2f0,4 hit s = 23, b= 16
L 10f2f4,4 hit s = 23, b= 20
L 10f2f8,4 hit s = 23, b= 24
L 10f2fc,4 hit s = 23, b= 28
S 14f4d0,4 hit s = 6, b= 16
S 14f550,4 hit s = 10, b= 16
S 14f5d0,4 hit s = 14, b= 16
S 14f650,4 hit s = 18, b= 16
S 14f6d0,4 hit s = 22, b= 16
S 14f750,4 hit s = 26, b= 16
S 14f7d0,4 hit s = 30, b= 16
S 14f850,4 hit s = 2, b= 16
L 10f360,4 miss eviction s = 27, b= 0
L 10f364,4 hit s = 27, b= 4
L 10f368,4 hit s = 27, b= 8
